Date,AndriodHeadunits,Speakers,Cameras,LeatherSeatCovers,GLSteeringCovers,7DMatts,3DMatts,Horns,Armrests,LedHeadlights,AlloyWheels,Spoilers,FancyGrills,ChromeAccessories,RearGuards,SideBeading,BumperProtectors,DoorGuards,DoorVisors,Sunfilm,Perfumes,LedFogLamps,Denting,Painting
01-01-2015,14,22,17,20,29,15,28,37,15,25,10,14,11,10,15,6,21,23,13,16,53,12,7,9
02-01-2015,17,25,18,13,32,17,33,38,13,18,9,9,13,9,10,10,22,32,12,16,75,9,9,7
03-01-2015,18,22,13,19,31,17,45,40,14,15,12,21,16,10,17,9,16,29,15,12,57,10,10,11
04-01-2015,17,24,17,18,38,19,37,37,7,19,6,11,12,18,17,10,23,36,20,14,72,8,15,14
05-01-2015,15,26,14,20,26,19,41,48,10,23,10,11,14,10,18,11,20,42,15,17,64,7,16,10
06-01-2015,15,27,16,19,30,19,42,36,13,27,9,15,13,16,15,11,24,33,14,16,66,4,12,14
07-01-2015,21,24,16,19,33,22,44,36,11,22,12,7,11,10,15,5,21,42,17,17,66,11,14,14
08-01-2015,17,24,19,21,40,19,35,33,15,24,7,16,12,12,18,12,29,41,20,16,79,7,14,12
09-01-2015,16,19,15,19,26,16,39,31,12,18,6,13,14,13,15,5,20,26,16,13,57,8,16,12
10-01-2015,17,21,16,17,35,16,43,39,11,18,10,7,10,15,11,5,22,31,15,14,72,6,13,12
11-01-2015,16,24,13,18,36,18,37,35,9,22,7,13,10,9,17,5,20,37,15,14,69,12,11,16
12-01-2015,17,31,17,22,37,14,41,37,18,21,8,12,9,11,16,11,22,38,19,17,71,12,16,8
01-01-2016,16,24,12,18,32,13,29,37,10,18,9,8,12,12,7,12,19,35,12,11,59,7,12,16
02-01-2016,16,23,17,16,35,16,38,38,15,19,7,11,13,13,16,9,23,31,16,16,69,10,13,11
03-01-2016,14,17,14,17,41,16,36,27,9,16,12,9,14,13,14,9,20,33,13,14,56,11,11,12
04-01-2016,14,20,14,18,37,17,38,32,12,20,7,14,15,12,15,6,18,34,17,13,63,9,13,10
05-01-2016,16,20,18,17,39,19,44,34,12,22,10,16,14,13,17,10,22,35,17,19,63,7,11,8
06-01-2016,18,23,16,16,34,21,46,29,16,23,10,18,13,14,16,6,21,37,15,18,76,10,11,10
07-01-2016,15,23,16,17,34,16,43,46,15,22,8,17,13,9,18,6,19,32,17,13,64,11,14,11
08-01-2016,16,23,17,17,32,17,31,34,14,17,9,12,14,15,13,11,13,42,20,17,64,7,15,9
09-01-2016,18,29,13,18,37,17,35,42,9,23,11,15,11,9,13,8,24,32,13,18,65,8,11,13
10-01-2016,13,22,17,12,37,21,49,29,14,21,12,18,11,12,15,17,21,31,19,12,63,8,15,10
11-01-2016,15,29,15,15,40,21,43,45,12,22,6,15,8,8,13,10,26,34,15,9,68,11,12,14
12-01-2016,19,26,14,15,38,18,37,36,15,22,10,15,16,8,13,8,25,44,20,17,71,8,14,9
01-01-2017,19,19,15,16,34,9,43,38,9,20,5,9,14,14,13,10,27,40,14,17,73,6,12,14
02-01-2017,17,21,13,17,32,14,32,28,14,21,9,15,9,7,13,8,22,27,11,13,56,6,14,12
03-01-2017,20,24,17,21,36,17,38,33,11,20,11,7,14,14,13,9,17,27,9,17,64,3,10,8
04-01-2017,16,18,10,16,23,17,38,41,15,27,9,10,8,10,12,4,17,26,16,15,71,13,13,13
05-01-2017,18,24,15,18,30,19,34,45,17,24,6,11,19,8,15,7,25,43,19,18,64,9,16,13
06-01-2017,17,30,16,16,35,18,38,32,7,23,5,12,13,11,16,5,22,25,18,14,58,9,14,12
07-01-2017,18,23,16,18,28,19,52,42,15,22,8,18,10,14,17,13,21,31,13,20,83,11,13,8
08-01-2017,17,24,19,15,33,14,39,32,13,17,5,12,14,11,11,12,14,36,13,16,38,10,15,12
09-01-2017,14,21,13,18,29,15,40,38,11,21,4,14,11,13,13,9,13,36,16,14,64,6,11,11
10-01-2017,24,28,16,17,40,17,45,38,11,21,6,11,10,13,21,4,21,32,16,15,73,8,13,9
11-01-2017,18,27,17,23,35,20,35,32,17,30,16,11,11,13,20,6,18,38,18,16,81,10,11,12
12-01-2017,17,20,14,15,28,15,47,35,11,20,8,16,11,7,11,9,24,29,14,18,51,11,10,15
01-01-2018,17,32,19,16,44,14,40,38,16,24,9,16,11,16,16,13,24,34,12,16,77,5,11,10
02-01-2018,14,23,16,18,37,16,42,28,9,18,8,11,13,11,14,8,22,32,13,15,62,8,11,8
03-01-2018,17,26,14,15,32,15,51,38,11,21,9,12,15,17,15,11,27,31,15,13,56,10,13,11
04-01-2018,20,27,14,16,39,17,45,40,14,17,8,13,16,15,14,10,24,36,12,17,80,9,15,14
05-01-2018,20,18,19,21,39,13,41,35,13,26,5,15,9,14,17,6,24,44,16,18,74,9,13,12
06-01-2018,16,24,11,19,30,20,41,36,15,22,11,13,15,14,13,8,22,26,13,11,70,6,9,15
07-01-2018,16,31,16,18,33,19,36,35,12,19,9,12,10,10,15,13,26,37,19,17,69,12,15,10
08-01-2018,19,28,15,20,39,17,50,36,15,19,4,11,12,13,15,9,24,33,14,14,70,8,14,10
09-01-2018,18,22,17,15,32,13,29,31,12,18,11,10,12,12,13,4,20,31,13,14,66,6,9,14
10-01-2018,15,30,12,14,26,16,44,36,12,25,6,11,17,14,15,6,23,35,15,14,68,5,12,15
11-01-2018,15,27,13,14,29,11,32,34,12,20,7,16,12,9,12,8,22,40,20,17,56,6,12,11
12-01-2018,22,33,16,14,34,21,34,37,12,21,8,9,15,13,18,10,18,35,11,14,61,4,14,16
01-01-2019,12,22,17,17,34,19,42,36,10,21,6,14,6,14,10,9,25,40,18,15,77,6,9,9
02-01-2019,16,25,17,13,37,16,40,34,14,22,8,8,10,11,15,9,21,38,11,15,69,9,11,9
03-01-2019,15,23,19,15,43,19,44,39,10,23,10,15,12,12,16,13,22,42,17,10,63,7,10,10
04-01-2019,13,26,15,12,33,15,38,39,12,23,6,12,15,9,12,9,19,33,12,14,64,11,13,15
05-01-2019,19,23,14,18,34,18,53,39,14,19,10,11,9,9,12,5,21,29,14,17,68,7,13,13
06-01-2019,20,28,13,18,35,17,40,41,13,22,9,12,13,13,13,7,22,31,13,11,72,6,11,14
07-01-2019,17,35,19,21,39,19,47,48,14,22,10,17,12,13,17,9,21,41,18,14,63,11,12,18
08-01-2019,13,24,18,17,32,17,37,42,15,22,11,13,15,12,15,6,25,34,16,15,61,8,9,12
09-01-2019,18,18,10,18,28,13,40,29,14,20,8,10,9,10,15,4,22,35,12,12,69,8,13,10
10-01-2019,16,24,14,15,29,16,39,37,10,21,7,10,10,20,16,8,19,32,9,14,71,6,11,10
11-01-2019,19,24,13,20,30,16,42,44,15,26,13,13,13,17,18,9,18,45,18,13,66,11,15,9
12-01-2019,13,20,17,17,25,19,33,32,13,23,10,17,8,15,15,8,23,43,14,16,77,7,10,15
01-01-2020,16,30,11,17,37,18,43,30,9,23,6,14,13,10,12,12,21,39,18,19,64,8,12,14
02-01-2020,18,21,11,16,30,14,40,30,11,22,7,16,9,15,17,4,22,34,16,14,55,5,14,7
03-01-2020,11,17,14,13,24,11,30,26,10,15,6,11,10,11,10,7,21,23,15,13,38,3,11,9
04-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01-2020,14,28,17,15,40,15,43,37,17,21,6,15,13,16,16,5,22,40,16,19,90,9,15,16
08-01-2020,17,25,15,14,32,18,33,30,16,20,12,11,7,10,9,8,25,31,14,14,66,7,12,13
09-01-2020,19,32,18,15,34,18,45,37,12,22,6,15,14,10,19,5,25,30,13,17,63,11,13,13
10-01-2020,15,29,15,15,33,15,42,28,6,15,7,14,12,17,14,9,22,38,15,15,61,8,10,11
11-01-2020,16,25,12,17,39,18,39,27,11,20,9,13,13,16,13,10,14,30,15,12,55,9,11,10
12-01-2020,17,28,18,22,34,19,44,40,13,27,8,13,13,16,14,12,27,37,14,13,57,11,16,14
01-01-2021,15,20,17,16,31,11,41,36,14,17,4,13,12,9,12,8,18,33,16,12,76,3,12,9
02-01-2021,12,20,13,14,32,18,28,43,9,23,11,10,11,10,12,8,23,28,15,9,65,6,10,10
03-01-2021,18,26,15,14,37,17,38,30,13,18,10,11,17,13,12,15,23,41,19,15,55,9,14,17
04-01-2021,15,22,17,16,37,17,43,38,9,17,6,13,11,12,18,11,16,29,12,15,51,5,10,9
